subject_name,course_name,course_url
Business Courses,"
                     Negocios Internacionales II
                   ",https://www.classcentral.com/course/negocios-internacionales2-4941
Business Courses,"
                     Introducción a la Calidad
                   ",https://www.classcentral.com/course/gestion-de-productividad-5521
Business Courses,"
                     Managing Employee Performance
                   ",https://www.classcentral.com/course/managing-employee-performance-5528
Business Courses,"
                     Setting Expectations & Assessing Performance Issues
                   ",https://www.classcentral.com/course/coaching-expectations-performance-5534
Business Courses,"
                     Advanced Content and Social Tactics to Optimize SEO
                   ",https://www.classcentral.com/course/seo-tactics-5535
Business Courses,"
                     International B2B (Business to Business) Marketing
                   ",https://www.classcentral.com/course/international-b2b-marketing-5542
Business Courses,"
                     Intro to International Marketing
                   ",https://www.classcentral.com/course/intro-international-marketing-5506
Business Courses,"
                     International Marketing Entry and Execution
                   ",https://www.classcentral.com/course/international-marketing-entry-execution-5507
Business Courses,"
                     Integrated Marketing Communications: Advertising, Public Relations, Digital Marketing and more
                   ",https://www.classcentral.com/course/integrated-marketing-communications-5509
Business Courses,"
                     Managing Employee Compensation
                   ",https://www.classcentral.com/course/managing-employee-compensation-5510
Business Courses,"
                     Optimizing a Website for Search
                   ",https://www.classcentral.com/course/optimizing-web-search-5512
Business Courses,"
                     Securing Investment Returns in the Long Run
                   ",https://www.classcentral.com/course/investment-returns-long-run-5514
Business Courses,"
                     Meeting Investors' Goals
                   ",https://www.classcentral.com/course/meeting-investors-goals-5515
Business Courses,"
                     Managing as a Coach
                   ",https://www.classcentral.com/course/managing-as-a-coach-5519
Business Courses,"
                     Search Engine Optimization Fundamentals
                   ",https://www.classcentral.com/course/seo-fundamentals-5484
Business Courses,"
                     Introduction to Search Engine Optimization
                   ",https://www.classcentral.com/course/intro-seo-5488
Business Courses,"
                     Portfolio and Risk Management
                   ",https://www.classcentral.com/course/portfolio-risk-management-5490
Business Courses,"
                     From Idea to Startup
                   ",https://www.classcentral.com/course/startup-entrepreneurship-from-idea-to-st-5498
Business Courses,"
                     Fundamentals of Quantitative Modeling
                   ",https://www.classcentral.com/course/wharton-quantitative-modeling-fundamenta-5448
Business Courses,"
                     Modeling Risk and Realities
                   ",https://www.classcentral.com/course/wharton-risk-models-5546
Business Courses,"
                     Launch Strategy: 5 Steps to Capstone Experience
                   ",https://www.classcentral.com/course/howtostartabusiness5-5558
Business Courses,"
                     Iniciación y Planificación de Proyectos
                   ",https://www.classcentral.com/course/planificacion-proyectos-4647
Business Courses,"
                     Beneficios y características de las redes sociales más significativas
                   ",https://www.classcentral.com/course/redes-sociales-caracteristicas-4649
Business Courses,"
                     Advanced Search Engine Optimization Strategies
                   ",https://www.classcentral.com/course/advanced-seo-strategies-5608
Business Courses,"
                     Entrepreneurship 3: Growth Strategies
                   ",https://www.classcentral.com/course/growth-strategy-5466
Business Courses,"
                     Entrepreneurship 1: Developing the Opportunity
                   ",https://www.classcentral.com/course/wharton-entrepreneurship-opportunity-5467
Business Courses,"
                     Creativity And Entrepreneurship 
                   ",https://www.classcentral.com/course/creativity-and-entrepreneurship-10057
Business Courses,"
                     Mergers and Acquisitions – The Relentless Pursuit of Synergy
                   ",https://www.classcentral.com/course/mergers-and-acquisitions-10794
Business Courses,"
                     Financial Acumen for Non-Financial Managers
                   ",https://www.classcentral.com/course/finance-healthcare-managers-10797
Business Courses,"
                     Core Concepts of Accounting – Numbers and People
                   ",https://www.classcentral.com/course/core-concepts-of-accounting-10798
Business Courses,"
                     Management Fundamentals
                   ",https://www.classcentral.com/course/management-fundamentals-healthcare-admin-10801
Business Courses,"
                     Major and Principal Gifts
                   ",https://www.classcentral.com/course/major-principal-gifts-10807
Business Courses,"
                     Projeto Aplicado - Introdução a Gestão de Projetos
                   ",https://www.classcentral.com/course/iniciacao-planejamento-de-projetos-10708
Business Courses,"
                     Orçamento e Cronograma de Projetos
                   ",https://www.classcentral.com/course/orcamento-cronograma-de-projetos-10722
Business Courses,"
                     Iniciação e Planejamento de Projetos
                   ",https://www.classcentral.com/course/projeto-aplicado-10723
Business Courses,"
                     Практики управленческой аналитики в MS Excel
                   ",https://www.classcentral.com/course/praktiki-upravlencheskoy-analitiki-excel-10753
